inn,short_name,region,address,net_profit_2021,2022,2023,2024,net_profit_2025,growth_pct
0105077184,"ООО ""СТРОИТЕЛЬНЫЙ ПОТОК""",КРАСНОДАРСКИЙ,"350053, КРАСНОДАРСКИЙ, Краснодар, ЗАПАДНЫЙ ОБХОД, 39, 2",1000.0,3821.0,2389.0,283.0,-2345.0,-334.5
0106002128,"ООО ""ТЕРМОСТРОЙ""",АДЫГЕЯ,"385132, АДЫГЕЯ, ТАХТАМУКАЙСКИЙ, ЭНЕМ, КОММУНИСТИЧЕСКАЯ, 7А",5120.0,8939.0,6170.0,259.0,15168.0,196.25
0107018882,"ООО ""ПРОФСТРОЙ""",АДЫГЕЯ,"385140, АДЫГЕЯ, ТАХТАМУКАЙСКИЙ, ЯБЛОНОВСКИЙ, СОЛНЕЧНАЯ, 55, 21, 31",54210.0,111704.0,54468.0,,,
0107021081,"ООО ""СТРОИТЕЛЬ""",КРАСНОДАРСКИЙ,"350075, КРАСНОДАРСКИЙ, КРАСНОДАР, ИМ. СТАСОВА, 183, 48",57337.0,16240.0,7377.0,-346685.0,107041.0,86.68747928911523
0107025270,"ООО""СТРОЙТРАНССЕРВИС""",АДЫГЕЯ,"385230, АДЫГЕЯ, ТЕУЧЕЖСКИЙ, ПОНЕЖУКАЙ, ОКТЯБРЬСКАЯ, 31",-1373.0,337.0,700.0,19.0,0.0,100.0
0107025791,"ООО ФИРМА ""ФРИЗ""",АДЫГЕЯ,"385228, АДЫГЕЯ, ТЕУЧЕЖСКИЙ, ТЛЮСТЕНХАБЛЬ, ЛЕНИНА, 21Б, ОФИС 4",12314.0,11354.0,21899.0,31731.0,34822.0,182.7838232905636
0107026450,"ООО СЗ ""СТРОЙИНВЕСТ-ЮГ""",АДЫГЕЯ,"385141, АДЫГЕЯ, ТАХТАМУКАЙСКИЙ, ЯБЛОНОВСКИЙ, ТУРГЕНЕВСКОЕ ШОССЕ, 1Г, 1",19432.0,47884.0,78630.0,18339.0,24295.0,25.02573075339646
0107027037,"ООО ""ФОРВАРД""",АДЫГЕЯ,"385140, АДЫГЕЯ, ТАХТАМУКАЙСКИЙ, ТАХТАМУКАЙ, МОРСКАЯ, 4/1",69869.0,648.0,27997.0,-302613.0,123421.0,76.64629520960655
0107030505,"ООО ""МОНОЛИТ ЮГ""",АДЫГЕЯ,"385142, АДЫГЕЯ, ТАХТАМУКАЙСКИЙ, ЯБЛОНОВСКИЙ, ГАГАРИНА, 192, 3, 97",227136.0,109192.0,78883.0,-1982.0,3885.0,-98.28957100591717
0107034299,"ООО СЗ ""ПРОФ-РЕГИОН-СТРОЙ""",АДЫГЕЯ,"385121, АДЫГЕЯ, ТАХТАМУКАЙСКИЙ, НОВАЯ АДЫГЕЯ, БЖЕГОКАЙСКАЯ, 19, 1, 8/1",83227.0,2402.0,776.0,-2711.0,985.0,-98.81648984103715
0107036810,"ООО ""БАРС""",АДЫГЕЯ,"385142, АДЫГЕЯ, ТАХТАМУКАЙСКИЙ, ЯБЛОНОВСКИЙ, ШОССЕЙНАЯ, 65",2031.0,1273.0,129.0,49.0,-40.0,-101.96947316592811
0205008635,"ООО ""СК ""СИСТЕМА""",БАШКОРТОСТАН,"450059, БАШКОРТОСТАН, УФА, РИХАРДА ЗОРГЕ, 9, 5, 78",16016.0,14481.0,9280.0,6941.0,10.0,-99.93756243756243
0207006055,"ООО ""ЖИЛСТРОЙ""",БАШКОРТОСТАН,"450071, БАШКОРТОСТАН, Уфа, МЕНДЕЛЕЕВА, 201, 1",-2412.0,1506.0,2423.0,6638.0,2242.0,192.9519071310116
0219008057,"ООО ""ФАВОРИТ""",БАШКОРТОСТАН,"453104, БАШКОРТОСТАН, СТЕРЛИТАМАК, БАБУШКИНА, 2А, 1",3371.0,8067.0,2628.0,11266.0,2954.0,-12.370216552951646
0225004830,"ООО ""ПСТ""",БАШКОРТОСТАН,"452260, БАШКОРТОСТАН, ИЛИШЕВСКИЙ, ВЕРХНЕЯРКЕЕВО, КОММУНИСТИЧЕСКАЯ, 107/1",2200.0,13111.0,3633.0,2095.0,19364.0,780.1818181818181
0225010470,"ООО ""ИЛИШЕВСКОЕ РТП""",БАШКОРТОСТАН,"452260, БАШКОРТОСТАН, ИЛИШЕВСКИЙ, ВЕРХНЕЯРКЕЕВО, КОММУНИСТИЧЕСКАЯ, 107/1",22584.0,-96.0,18065.0,231.0,864.0,-96.17428267800211
0226005145,"ООО "" НЕФТЕГАЗСЕРВИС""",БАШКОРТОСТАН,"450077, БАШКОРТОСТАН, УФА, ЦЮРУПЫ, 85, 1",14339.0,32825.0,7914.0,1862.0,-9884.0,-168.93088778854872
0231006673,"ООО ""ОАЗИС""",ОРЕНБУРГСКАЯ,"460024, ОРЕНБУРГСКАЯ, ОРЕНБУРГ, ПЛЕХАНОВА, 2/1, 1",38535.0,2245.0,86.0,-4148.0,-8761.0,-122.73517581419489
0233005330,"ООО ""СПФ РЕМСТРОЙ""",БАШКОРТОСТАН,"453360, БАШКОРТОСТАН, КУЮРГАЗИНСКИЙ, ЕРМОЛАЕВО, ЧКАЛОВА, 70В",9562.0,11401.0,72224.0,55319.0,31291.0,227.2432545492575
0237995180,"ООО ""БАШНГС""",БАШКОРТОСТАН,"452340, БАШКОРТОСТАН, МИШКИНСКИЙ, МИШКИНО, МОЛОДЕЖНАЯ, 6, 2",1726.0,1382.0,1094.0,499.0,418.0,-75.7821552723059
0238006023,"ООО ""СТРОЙВЫСОТА""",БАШКОРТОСТАН,"452086, БАШКОРТОСТАН, МИЯКИНСКИЙ, КАРАН-КУНКАС, ШКОЛЬНАЯ, 10, 1",113744.0,71784.0,141176.0,131323.0,-8377.0,-107.36478407652272
0242009690,"ООО ""АСК""",БАШКОРТОСТАН,"453102, БАШКОРТОСТАН, СТЕРЛИТАМАК, КОСМОНАВТОВ, 3",3618.0,3608.0,2954.0,3797.0,10186.0,181.53676064123826
0242009771,"ООО ""УСТК""",БАШКОРТОСТАН,"453120, БАШКОРТОСТАН, СТЕРЛИТАМАК, НОВАЯ, 40",2171.0,632.0,2136.0,4188.0,18244.0,740.350069092584
0242010713,"ООО ""ЮНИСТРОЙ""",БАШКОРТОСТАН,"453140, БАШКОРТОСТАН, СТЕРЛИТАМАКСКИЙ, БАЙРАК, ЛУГОВАЯ, 1В",-9867.0,-5609.0,-3730.0,-13726.0,-79.0,99.19935137326442
0245021417,"ООО ПО ""СОЮЗ""",БАШКОРТОСТАН,"450078, БАШКОРТОСТАН, Уфа, КИРОВА, 99/2, 48СТ",6103.0,3943.0,1260.0,982.0,420.0,-93.11813862035065
0250012591,"ООО ПКФ ""ЖИЛСЕРВИС""",БАШКОРТОСТАН,"452170, БАШКОРТОСТАН, ЧИШМИНСКИЙ, ЧИШМЫ, ТРАКТОВАЯ, 17А",5.0,11.0,12.0,7.0,2.0,-60.0
0253014741,"ООО ""БНПС-ИНВЕСТ""",БАШКОРТОСТАН,"452680, БАШКОРТОСТАН, НЕФТЕКАМСК, НЕФТЯНИКОВ, 24",13848.0,1506.0,38630.0,1839.0,3023.0,-78.17013287117274
0255016053,"ООО""УРАЛСПЕЦСТРОЙ""",БАШКОРТОСТАН,"450092, БАШКОРТОСТАН, УФА, СОФЬИ ПЕРОВСКОЙ, 29",7663.0,3058.0,20203.0,17343.0,-13494.0,-276.09291400234895
0255022579,"ООО ""СУ № 8""",БАШКОРТОСТАН,"452005, БАШКОРТОСТАН, БЕЛЕБЕЕВСКИЙ, БЕЛЕБЕЙ, В.Н.ТРАВНИЦКОГО, 6/1, 6",35622.0,1.0,298.0,-1243.0,-2409.0,-106.76267475155802
0255023639,"ООО ""ПСС""",БАШКОРТОСТАН,"452005, БАШКОРТОСТАН, БЕЛЕБЕЕВСКИЙ, БЕЛЕБЕЙ, МАЛО ЛУГОВАЯ, 63/4, 8",,565.0,0.0,,,
0256023663,"ООО ""СИТИПЛЮС""",МОСКВА,"123007, МОСКВА, 4-Я МАГИСТРАЛЬНАЯ, 5, 3",183578.0,71671.0,28473.0,129446.0,31639.0,-82.76536404144288
0256024473,"ООО ""БАШСПЕЦСТРОЙ""",БАШКОРТОСТАН,"453510, БАШКОРТОСТАН, БЕЛОРЕЦКИЙ, БЕЛОРЕЦК, КОММУНАЛЬНАЯ, 61",331.0,-1193.0,8304.0,2515.0,-2436.0,-835.9516616314199
0256995980,"ООО ""КОРУНД""",БАШКОРТОСТАН,"453510, БАШКОРТОСТАН, БЕЛОРЕЦКИЙ, БЕЛОРЕЦК, ТЮЛЕНИНА, 14А, 36",22762.0,19652.0,29968.0,44535.0,7156.0,-68.56163781741499
0257005956,"ООО ""ЛМ-СТРОЙ""",БАШКОРТОСТАН,"452451, БАШКОРТОСТАН, БИРСКИЙ, БИРСК, МИРА, 129",106.0,1736.0,-31693.0,5.0,-462.0,-535.8490566037735
0257006614,"ООО ""БЕСТРАНШЕЙНЫЕ ТЕХНОЛОГИИ""",БАШКОРТОСТАН,"452451, БАШКОРТОСТАН, БИРСКИЙ, БИРСК, МИРА, 129Д",1803.0,4680.0,3109.0,2737.0,-52278.0,-2999.5008319467556
0257009598,"ООО ""ТЕХ-ПРОГРЕСС""",ЯМАЛО-НЕНЕЦКИЙ,"629305, ЯМАЛО-НЕНЕЦКИЙ, НОВЫЙ УРЕНГОЙ, ГУБКИНА, 14А, 13",1272.0,-440306.0,0.0,-1764.0,-11.0,-100.86477987421382
0259015195,"ООО ""РЕМСТРОЙ""",БАШКОРТОСТАН,"453406, БАШКОРТОСТАН, ДАВЛЕКАНОВСКИЙ, СЕРГИОПОЛЬ, СЕРГИОПОЛЬСКАЯ, 26, 2",20.0,75.0,88.0,1.0,,
0261021380,"ООО ""ОСНОВА""",ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,"628616, ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, НИЖНЕВАРТОВСК, ЛЕНИНА, 4/П, 7",3726.0,6880.0,2365.0,9895.0,,
0261022016,"ООО СК ""ТЕХНО""",БАШКОРТОСТАН,"453203, БАШКОРТОСТАН, ИШИМБАЙСКИЙ, ИШИМБАЙ, БЛОХИНА, 14В",577.0,1559.0,1142.0,726.0,1417.0,145.580589254766
0261039468,"ООО ""РСМ""",БАШКОРТОСТАН,"453256, БАШКОРТОСТАН, САЛАВАТ, МОЛОДОГВАРДЕЙЦЕВ, 6Б",298.0,2506.0,630.0,475.0,714.0,139.59731543624162
0261052998,"ООО СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ТЕХНОЛОГИЯ""",БАШКОРТОСТАН,"453203, БАШКОРТОСТАН, ИШИМБАЙСКИЙ, ИШИМБАЙ, БЛОХИНА, 14В",,-8454.0,9400.0,-457.0,-448.0,
0262002911,"ООО ""АКРОПОЛЬ""",БАШКОРТОСТАН,"453304, БАШКОРТОСТАН, КУМЕРТАУ, ШОССЕЙНАЯ, 2/3",6856.0,1866.0,30056.0,-2756.0,-74387.0,-1184.9912485414236
0262014900,"ООО ТСК ""СТРОЙСЕРВИС""",БАШКОРТОСТАН,"453306, БАШКОРТОСТАН, КУМЕРТАУ, МАГИСТРАЛЬНАЯ, 15, 2",3.0,-1256.0,,,,
0263009652,"ООО ""МАСТЕР - А""",БАШКОРТОСТАН,"453854, БАШКОРТОСТАН, МЕЛЕУЗОВСКИЙ, МЕЛЕУЗ, ОКТЯБРЬСКАЯ, 8А, 10",16075.0,37735.0,38225.0,68929.0,73846.0,359.3841368584759
0263016970,"ООО СЗ ""СК ЕВРОДОМ""",БАШКОРТОСТАН,"453850, БАШКОРТОСТАН, МЕЛЕУЗОВСКИЙ, МЕЛЕУЗ, БЕРЕГОВАЯ, 26/8",-103.0,-1056.0,-652.0,-786.0,0.0,100.0
0263017082,"ООО ""ПРОММОНТАЖ""",БАШКОРТОСТАН,"453856, БАШКОРТОСТАН, МЕЛЕУЗОВСКИЙ, МЕЛЕУЗ, ЗАХАРОВА, 5А",-2080.0,871.0,,,,
0263017484,"ООО СК ""РАЙС-ПРО""",БАШКОРТОСТАН,"453850, БАШКОРТОСТАН, Мелеузовский, Мелеуз, ЛЕНИНА, 93, 3/4",4316.0,5160.0,3420.0,4398.0,1086.0,-74.83781278962002
0264065498,"ООО ""СИТИ-СТРОЙ""",БАШКОРТОСТАН,"452684, БАШКОРТОСТАН, НЕФТЕКАМСК, СТРОИТЕЛЕЙ, 31, 1",50.0,283.0,79.0,162.0,252.0,404.0
0264067223,"ООО ""СТРОЙЭНЕРГОАЛЬЯНС""",БАШКОРТОСТАН,"450039, БАШКОРТОСТАН, УФА, ФЕРИНА, 11, 11",235.0,336.0,365.0,648.0,1169.0,397.44680851063833
0264067544,"ООО ""УНИСТРОЙ""",БАШКОРТОСТАН,"452684, БАШКОРТОСТАН, НЕФТЕКАМСК, ДОРОЖНАЯ, 15А, 11",766.0,700.0,2600.0,,1001.0,30.678851174934724
0264067745,"ООО ""СПЕЦТЕХНОЛОГИИ""",БАШКОРТОСТАН,"452680, БАШКОРТОСТАН, НЕФТЕКАМСК, МОНТАЖНАЯ, 16",0.0,539.0,,,,
0264069870,"ООО ""АНКОР""",БАШКОРТОСТАН,"452680, БАШКОРТОСТАН, НЕФТЕКАМСК, ВЫСОКОВОЛЬТНАЯ, 4, 2",0.0,,-44.0,,,
0264070988,"ООО ""КЭМ""",БАШКОРТОСТАН,"450078, БАШКОРТОСТАН, УФА, РЕВОЛЮЦИОННАЯ, 82, 42",89.0,80.0,164.0,240.0,236.0,165.1685393258427
0264072350,"ООО ""СМ""",БАШКОРТОСТАН,"450024, БАШКОРТОСТАН, УФА, ЦЕНТРАЛЬНАЯ, 57, 5,ОФИС 324",-1641.0,1060.0,23940.0,40194.0,-111468.0,-6692.687385740402
0264072576,"ООО ""ЖИЛСЕРВИС""",БАШКОРТОСТАН,"452689, БАШКОРТОСТАН, НЕФТЕКАМСК, СТРОИТЕЛЕЙ, 89А, 40",1485.0,8317.0,738.0,-4377.0,11426.0,669.4276094276094
0264074252,"ООО ""СТАНДАРТСТРОЙ""",БАШКОРТОСТАН,"450018, БАШКОРТОСТАН, УФА, АКАДЕМИКА КУРЧАТОВА, 65/7, 4",221.0,429.0,636.0,2749.0,981.0,343.89140271493216
0264076570,"ООО СК ""КУБ""",БАШКОРТОСТАН,"452687, БАШКОРТОСТАН, НЕФТЕКАМСК, ЮБИЛЕЙНЫЙ, 18А",665.0,34.0,0.0,,,
0265033121,"ООО ""СК РЕГИОН""",БАШКОРТОСТАН,"452616, БАШКОРТОСТАН, ОКТЯБРЬСКИЙ, КОСМОНАВТОВ, 5",3848.0,1562.0,6609.0,8151.0,9964.0,158.93970893970894
0265043578,"ООО ""КРС""",БАШКОРТОСТАН,"452616, БАШКОРТОСТАН, ОКТЯБРЬСКИЙ, СЕВЕРНАЯ, 31/2",-69473.0,-60261.0,-38673.0,30915.0,-22406.0,67.74862176672953
0265043909,"ООО ""СКИФ+""",БАШКОРТОСТАН,"452616, БАШКОРТОСТАН, ОКТЯБРЬСКИЙ, КОСМОНАВТОВ, 5Б",488.0,2041.0,3352.0,1169.0,4144.0,749.1803278688525
0265048382,"ООО СК ""ГЕНСТРОЙ""",БАШКОРТОСТАН,"452613, БАШКОРТОСТАН, ОКТЯБРЬСКИЙ, КЛИНОВА, 9, 366",2617.0,11515.0,20104.0,4617.0,340.0,-87.00802445548338
0265050582,"ООО ""СОГЛАСИЕ Г. ОКТЯБРЬСКИЙ РБ""",БАШКОРТОСТАН,"452614, БАШКОРТОСТАН, ОКТЯБРЬСКИЙ, ОСТРОВСКОГО, 72А, 10",985.0,1805.0,5796.0,2973.0,1582.0,60.60913705583756
0266017323,"ООО ""ТЕРМОИЗОПЛАСТ""",БАШКОРТОСТАН,"453256, БАШКОРТОСТАН, САЛАВАТ, МОЛОДОГВАРДЕЙЦЕВ, 1",314.0,2336.0,1023.0,410.0,,
0266017387,"ООО ""СТРОЙТЕК""",БАШКОРТОСТАН,"450015, БАШКОРТОСТАН, УФА, КАРЛА МАРКСА, 40, 2",2326.0,10527.0,10706.0,1710.0,3429.0,47.42046431642304
0266023197,"ООО ""СЖС""",БАШКОРТОСТАН,"453265, БАШКОРТОСТАН, САЛАВАТ, БЕКЕТОВА, 40, 5",-7701.0,13193.0,-184.0,-2692.0,0.0,100.0
0266027709,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАЯ УРАЛЬСКАЯ КОМПАНИЯ""",БАШКОРТОСТАН,"450006, БАШКОРТОСТАН, УФА, ЛЕНИНА, 67",14870.0,18488.0,-5614.0,-13684.0,-30541.0,-305.3866845998655
0266028614,"ООО ""САЛАВАТПОЛИМИКС""",БАШКОРТОСТАН,"450024, БАШКОРТОСТАН, УФА, ЦЕНТРАЛЬНАЯ, 57, 215",9651.0,9285.0,2190.0,6352.0,21904.0,126.9609366904984
0266029664,"ООО ""САЛАВАТПРОМСТРОЙ""",БАШКОРТОСТАН,"450077, БАШКОРТОСТАН, УФА, ВЕРХНЕТОРГОВАЯ, 4, 426",0.0,0.0,0.0,0.0,0.0,
0266046211,"ООО ""УРАЛ""",БАШКОРТОСТАН,"450054, БАШКОРТОСТАН, УФА, ШАФИЕВА, 22, 7",-8088.0,-16902.0,,,,
0266055865,"ООО ""СИНЕРГИЯ""",БАШКОРТОСТАН,"453252, БАШКОРТОСТАН, САЛАВАТ, НУРИМАНОВА, 30, 5",1685.0,5703.0,839.0,1008.0,1444.0,-14.3026706231454
0267011050,"ООО ""РЕМСТРОЙЦЕНТР""",БАШКОРТОСТАН,"453832, БАШКОРТОСТАН, СИБАЙ, НУРИМАНОВА, 5",408.0,717.0,-38911.0,,,
0267016107,"ООО ""МК 72 ""ЭНЕРГОСТРОЙ""",ТЮМЕНСКАЯ,"625019, ТЮМЕНСКАЯ, ТЮМЕНЬ, 50 ЛЕТ ОКТЯБРЯ, 101А, 1",,,,,264.0,
0267019387,"ООО ""ЖИЛ-СТРОЙ""",БАШКОРТОСТАН,"453839, БАШКОРТОСТАН, СИБАЙ, ВОСТОЧНОЕ, 19",5276.0,-26917.0,-2239.0,0.0,0.0,-100.0
0267021001,"ООО ""РД-ГРУПП""",БАШКОРТОСТАН,"453838, БАШКОРТОСТАН, СИБАЙ, БЕЛОВА, 3",648.0,-252.0,18.0,1193.0,188.0,-70.98765432098766
0268026468,"ООО ""СТРОЙИНДУСТРИЯ""",БАШКОРТОСТАН,"453700, БАШКОРТОСТАН, УЧАЛИНСКИЙ, УЧАЛЫ, ГОРЬКОГО, 8, 115",-23342.0,-3148.0,-28861.0,37320.0,6397.0,127.4055350869677
0268029003,"ООО ""ПРОМЫШЛЕННОЕ ГРАЖДАНСКОЕ СТРОИТЕЛЬСТВО""",БАШКОРТОСТАН,"453126, БАШКОРТОСТАН, СТЕРЛИТАМАК, ЛАТЫПОВА, 1А",147.0,-129.0,74.0,60.0,22.0,-85.03401360544217
0268029236,"ООО ""ГРУППА СТМ""",БАШКОРТОСТАН,"453120, БАШКОРТОСТАН, СТЕРЛИТАМАК, САЛТЫКОВА-ЩЕДРИНА, 2",55.0,450.0,324.0,336.0,138.0,150.9090909090909
0268037011,"ООО ""ССМ""",БАШКОРТОСТАН,"453103, БАШКОРТОСТАН, СТЕРЛИТАМАК, ДРУЖБЫ, 12, 426",426.0,333.0,918.0,693.0,366.0,-14.084507042253522
0268049176,"ООО ""БАШСПЕЦСТРОЙРЕМОНТ""",БАШКОРТОСТАН,"453130, БАШКОРТОСТАН, СТЕРЛИТАМАК, САГИТОВА, 2Д, 3",307.0,1373.0,3237.0,-12547.0,4660.0,1417.915309446254
0268052852,"ООО ""КАПРЕМСТРОЙ""",БАШКОРТОСТАН,"453115, БАШКОРТОСТАН, СТЕРЛИТАМАК, ЩЕРБАКОВА, 2, 401",2044.0,1119.0,1740.0,623.0,961.0,-52.98434442270059
0268055490,"ООО ""КВИНТА ПЛЮС""",БАШКОРТОСТАН,"453103, БАШКОРТОСТАН, СТЕРЛИТАМАК, ПРОФСОЮЗНАЯ, 11Б",1035.0,1258.0,-2312.0,225.0,6026.0,482.2222222222222
0268056840,"ООО ""АВТОСТРОЙКОМПЛЕКТ""",Башкортостан,"450000, Башкортостан, Стерлитамак, Новая, 40",12791.0,28836.0,30359.0,10475.0,761.0,-94.05050426080838
0268067023,"ООО ""ЛИКСТРОЙ""",БАШКОРТОСТАН,"453100, БАШКОРТОСТАН, СТЕРЛИТАМАК, ОКТЯБРЯ, 89, 9",3180.0,1086.0,-480.0,458.0,3407.0,7.138364779874213
0268067873,"ООО ""СТЕРЛИТАМАКПРОММОНТАЖ""",БАШКОРТОСТАН,"453100, БАШКОРТОСТАН, СТЕРЛИТАМАК, ОКТЯБРЯ, 93, 175",-864.0,240.0,4047.0,-1790.0,77.0,108.91203703703705
0268076109,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК - ГОРСТРОЙ""",БАШКОРТОСТАН,"453104, БАШКОРТОСТАН, СТЕРЛИТАМАК, НИЗОВАЯ, 53, А",-100758.0,84893.0,-18340.0,-14541.0,-10503.0,89.57601381528018
0268082286,"ООО ""МХС""",БАШКОРТОСТАН,"450077, БАШКОРТОСТАН, УФА, КОММУНИСТИЧЕСКАЯ, 78, 6, ОФИС 3",8974.0,8893.0,1956.0,4625.0,,
0268082783,"ООО ""ЛИДЕР СТРОЙ""",БАШКОРТОСТАН,"453140, БАШКОРТОСТАН, СТЕРЛИТАМАКСКИЙ, ЗАГОРОДНЫЙ, ГАГАРИНА, 1А",1916.0,7882.0,9598.0,59231.0,2444.0,27.55741127348643
0268085030,"ПСК ""АРТСТРОЙ-СТР""",БАШКОРТОСТАН,"453104, БАШКОРТОСТАН, СТЕРЛИТАМАК, ТУКАЕВА, 2Б, 1",108.0,914.0,432.0,1083.0,10443.0,9569.444444444443
0269016617,"ООО ""НХМ""",БАШКОРТОСТАН,"450075, БАШКОРТОСТАН, УФА, РИХАРДА ЗОРГЕ, 70/1, 8",657.0,82.0,,,,
0269022392,"ООО ""СФ-3""",БАШКОРТОСТАН,"452751, БАШКОРТОСТАН, ТУЙМАЗИНСКИЙ, ТУЙМАЗЫ, С.ЮЛАЕВА, 83",-6382.0,-17657.0,-5238.0,-5590.0,-7712.0,-20.839862112190534
0269036451,"ООО ""СК-РОСТ""",МОСКВА,"107140, МОСКВА, 1-Й КРАСНОСЕЛЬСКИЙ, 3, 15П1",523.0,615.0,817.0,673.0,5000.0,856.0229445506693
0269040384,"ООО""СТРОЙПРОЕКТ""",БАШКОРТОСТАН,"452774, БАШКОРТОСТАН, ТУЙМАЗИНСКИЙ, КАИН-ЕЛГА, РЕЧНАЯ, 29",661.0,981.0,290.0,11379.0,2338.0,253.70650529500756
0270406026,"ООО ""УРАЛГРЕЙТ""",ЧЕЛЯБИНСКАЯ,"454028, ЧЕЛЯБИНСКАЯ, ЧЕЛЯБИНСК, ЯРОСЛАВСКАЯ, 1, 112",4401.0,2086.0,13578.0,77590.0,64668.0,1369.393319700068
0272018371,"ООО СЗ ""ЮУУС""",БАШКОРТОСТАН,"450095, БАШКОРТОСТАН, Уфа, ПРАВДЫ, 39, 2",54481.0,13142.0,-9941.0,-12691.0,7673.0,-85.91619096565776
0272019022,"ООО ""СТРОЙКОМПЛЕКС""",БАШКОРТОСТАН,"450095, БАШКОРТОСТАН, УФА, КРАЙНЯЯ, 4, 208",2502.0,565.0,2965.0,530.0,113.0,-95.48361310951239
0272020170,"ООО ""СТРОЙЦЕНТР""",БАШКОРТОСТАН,"450075, БАШКОРТОСТАН, УФА, ОКТЯБРЯ, 85/2, 25",3121.0,1923.0,1475.0,2171.0,4018.0,28.740788208907404
0272902260,"ООО ""СМУ № 5""",БАШКОРТОСТАН,"450080, БАШКОРТОСТАН, УФА, МИНИГАЛИ ГУБАЙДУЛЛИНА, 10, 7",11769.0,-81071.0,0.0,94544.0,-17934.0,-252.3833800662758
0272908649,"ООО ""ЭНЕРГОСТРОЙГАРАНТ""",БАШКОРТОСТАН,"450024, БАШКОРТОСТАН, УФА, ДАГЕСТАНСКАЯ, 11/1, 29",607.0,2344.0,712.0,715.0,,
0272910172,"ООО ""ГК ""ТРАСТ-ИНВЕСТ""",БАШКОРТОСТАН,"450050, БАШКОРТОСТАН, УФА, ГЕНЕРАЛА КУСИМОВА, 19, 1, 497",-58356.0,-13564.0,-5479.0,-1318.0,-11722.0,79.91294811159092
0272919922,"ООО ""БУС""",БАШКОРТОСТАН,"450024, БАШКОРТОСТАН, УФА, ЦЕНТРАЛЬНАЯ, 57, 327",,1480.0,966.0,-22775.0,,
0273005640,"ООО ТПФ ""МОДУЛЬ""",БАШКОРТОСТАН,"450022, БАШКОРТОСТАН, УФА, БАКАЛИНСКАЯ, 68/6",795.0,630.0,2164.0,2316.0,42138.0,5200.377358490566
0273040820,"ООО ""ЭЛЬМЭР ПЛЮС""",БАШКОРТОСТАН,"450105, БАШКОРТОСТАН, УФА, НАБЕРЕЖНАЯ, 71",453.0,-6467.0,-1170.0,390.0,69.0,-84.76821192052981
