inn,registry_category,registry_okved,error_type,error_message
9705164614,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7720867495,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9703075013,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9703075052,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7713487541,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9703099166,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7713631058,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
2540266922,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
5053036899,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7111016922,Среднее предприятие,41.2,org_not_found,Организация не найдена в БФО
5038163010,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9705172767,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9724003764,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
1655447747,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9704080175,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7730278019,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9721176670,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9717114304,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
2014031002,Среднее предприятие,41.2,org_not_found,Организация не найдена в БФО
5074068108,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9703075430,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7733757980,Среднее предприятие,41.2,org_not_found,Организация не найдена в БФО
7224051364,Среднее предприятие,41.2,org_not_found,Организация не найдена в БФО
7718098115,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
5047253341,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
5904195666,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9721072544,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
0503012098,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
6501171671,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9703086329,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7743385956,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
6165180170,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9725078057,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7718916233,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9705000341,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7731394378,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9705165449,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7706716800,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9718178710,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
1660359976,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9702032419,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
2722052072,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9701192307,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9728066363,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
5261071238,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
6166078161,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
4703142535,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
4105030680,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
5259120897,Среднее предприятие,41.2,org_not_found,Организация не найдена в БФО
0278140402,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
6313000240,Среднее предприятие,41.2,org_not_found,Организация не найдена в БФО
7727443424,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
5260458786,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
7702376423,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
9724149604,Малое предприятие,41.2,org_not_found,Организация не найдена в БФО
